oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
778116100012244,73717394,2458491.677603983,58491.173946800000,19.4459438,0.0727929324,0,zg,55.197537700000000,57.955837300000000,0.563000023,-0.01300000,20190108173889,778,16,1,21.0100002,26.2133770,0.0249277279,-0.060662609,6.104216936E-06,3.0000000000e+01,1.08000004,1
778116100012244,73819026,2458492.693870675,58492.190266200000,18.7571373,0.0482555740,32768,zg,55.197460500000000,57.955828500000000,0.370000005,-0.01700000,20190109190255,778,16,1,18.5300007,24.0190334,0.0640231967,-0.059975032,1.577242656E-04,3.0000000000e+01,1.07599998,1
778116100012244,73922070,2458493.724255910,58493.220706000000,19.4274750,0.0719620585,0,zg,55.197594400000000,57.955862900000000,1.161999941,-0.00300000,20190110220706,778,16,1,21.2500000,26.2108402,0.0235087704,-0.060347449,5.485635029E-06,3.0000000000e+01,1.08700001,1
778116100012244,74123866,2458495.742108835,58495.238669000000,19.4496460,0.0729607642,0,zg,55.197633400000000,57.955805000000000,0.497000009,0.02500000,20190112238657,778,16,1,20.9899998,26.0900860,0.0262455251,-0.055663135,6.760972610E-06,3.0000000000e+01,1.11000001,1
778116100012244,75317995,2458507.682662968,58507.179953700000,19.4109211,0.0712262765,0,zg,55.197521000000000,57.955868100000000,0.460000008,0.00000000,20190124179954,778,16,1,20.8999996,26.1993122,0.0292010810,-0.052462790,8.482601515E-06,3.0000000000e+01,1.08500004,1
778116100012244,75520011,2458509.702689398,58509.200115700000,19.4142418,0.0713732168,0,zg,55.197632100000000,57.955906400000000,0.720000029,-0.02400000,20190126200104,778,16,1,20.2700005,26.2041588,0.0369755290,-0.059684288,1.381874154E-05,3.0000000000e+01,1.11000001,1
778116100012244,75617917,2458510.681685093,58510.179178200000,19.5505772,0.0777005702,0,zg,55.197676800000000,57.955917500000000,0.986000001,0.18600000,20190127179120,778,16,1,20.1900005,26.0989075,0.0409929454,-0.055299200,1.653261825E-05,3.0000000000e+01,1.09099996,1
778116100012244,75715583,2458511.658272851,58511.155833300000,19.4993515,0.0752550587,0,zg,55.197626000000000,57.955906300000000,1.302000046,0.03000000,20190128155822,778,16,1,20.8500004,26.1935749,0.0287897270,-0.034361281,8.223214536E-06,3.0000000000e+01,1.07900000,1
778116100012244,76019762,2458514.699852862,58514.197627300000,19.3347111,0.0679459050,0,zg,55.197642400000000,57.955837500000000,0.621999979,-0.00300000,20190131197593,778,16,1,20.5499992,25.7881432,0.0419634841,-0.035959043,1.742361019E-05,3.0000000000e+01,1.12600005,1
778116100012244,76815787,2458522.659509589,58522.157870400000,19.3634205,0.0691611990,0,zg,55.197499300000000,57.955829200000000,1.203999996,0.09900000,20190208157801,778,16,1,20.5799999,26.1599541,0.0381201506,-0.041607682,1.410769619E-05,3.0000000000e+01,1.10200000,1
778116100012244,76913530,2458523.636865883,58523.135300900000,19.3153057,0.0671383739,0,zg,55.197595200000000,57.955920000000000,0.721000016,-0.07000000,20190209135289,778,16,1,20.8700008,26.1708107,0.0281847846,-0.040471349,7.880060366E-06,3.0000000000e+01,1.08500004,1
778116100012244,78013951,2458534.640220698,58534.139513900000,19.1700478,0.0614389330,0,zg,55.197658000000000,57.955998900000000,0.512000024,0.06000000,20190220139479,778,16,1,19.3999996,26.1322060,0.0506075174,-0.029770011,3.131468475E-05,3.0000000000e+01,1.12000000,1
778116100012244,78418159,2458538.681982158,58538.181597200000,19.1111965,0.0592972897,32768,zg,55.197571600000000,57.955842600000000,0.529999971,-0.07900000,20190224181539,778,16,1,20.0000000,25.3105888,0.0450540520,-0.061836071,2.090428643E-05,3.0000000000e+01,1.23800004,1
778116100012244,78515459,2458539.654902170,58539.154594900000,19.3013020,0.0665625110,0,zg,55.197477900000000,57.955894600000000,0.740000010,-0.08700000,20190225154572,778,16,1,20.7299995,26.1327305,0.0329159983,-0.050001737,1.066726873E-05,3.0000000000e+01,1.17400002,1
778116100012244,78615741,2458540.657646148,58540.157419000000,19.2349319,0.0639106035,0,zg,55.197531000000000,57.955911500000000,0.527000010,0.00800000,20190226157384,778,16,1,20.7399998,26.1372719,0.0346614458,-0.034532640,1.435774539E-05,3.0000000000e+01,1.18700004,1
778116100012244,79323965,2458547.739314798,58547.239652800000,19.1884460,0.0621278323,0,zg,55.197498800000000,57.955823100000000,1.348000050,0.09600000,20190305239618,778,16,1,20.4699993,26.0530148,0.0330320038,-0.044251747,1.099755627E-05,3.0000000000e+01,1.66100001,1
778116100012244,80224690,2458556.745865331,58556.246909700000,19.0194817,0.0561426505,0,zg,55.198040500000000,57.956031500000000,1.060999990,0.09200000,20190314246840,778,16,1,19.3199997,25.9834232,0.0509645641,-0.037391722,3.447492782E-05,3.0000000000e+01,1.96399999,1
778116100012244,80315488,2458557.653770134,58557.154884300000,18.9252167,0.0531220958,0,zg,55.197403700000000,57.955726900000000,0.842999995,1.26199996,20190315154803,778,16,1,18.9400005,26.1267567,0.0503235571,-0.034050893,4.823009294E-05,3.0000000000e+01,1.32799995,1
778116100012244,80413355,2458558.632364162,58558.133553200000,19.0560436,0.0573740713,0,zg,55.197156500000000,57.955967800000000,1.366000056,-0.07300000,20190316133553,778,16,1,19.5599995,26.1433716,0.0502319299,-0.053637542,2.850164674E-05,3.0000000000e+01,1.25899994,1
778116100012244,80615310,2458560.651759618,58560.153101900000,19.0774040,0.0581094697,0,zg,55.197529300000000,57.955823800000000,0.748000026,-0.18300000,20190318153102,778,16,1,20.0200005,26.1465473,0.0388549268,-0.060818460,1.519576017E-05,3.0000000000e+01,1.35599995,1
778116100012244,80720596,2458561.704539118,58561.205960600000,18.7399826,0.0477941446,0,zg,55.197530400000000,57.955708000000000,0.611999989,-0.02500000,20190319205926,778,16,1,19.0000000,26.0089397,0.0565235727,-0.029530214,5.790915020E-05,3.0000000000e+01,1.69700003,1
778116100012244,81420810,2458568.706168606,58568.208101900000,18.9029636,0.0524404757,0,zg,55.197647400000000,57.955832700000000,0.646000028,-0.07300000,20190326208044,778,16,1,20.2199993,25.6751881,0.0403079987,-0.054712810,1.643028918E-05,3.0000000000e+01,1.89800000,1
778116100012244,81915769,2458573.655419712,58573.157696800000,18.7855129,0.0490327701,0,zg,55.197518000000000,57.955836200000000,0.874000013,-0.03500000,20190331157685,778,16,1,20.4099998,25.9928589,0.0328472033,-0.059080098,1.093419633E-05,3.0000000000e+01,1.58000004,1
778116100012244,82015995,2458574.657609074,58574.159953700000,18.8512535,0.0509014912,32768,zg,55.197590900000000,57.955869800000000,0.782999992,-0.14500000,20190401159942,778,16,1,19.1800003,24.6957321,0.0798543170,-0.058134533,1.136768115E-04,3.0000000000e+01,1.61500001,1
778116100012244,82813325,2458582.630398708,58582.133252300000,18.7135391,0.0470950417,32768,zg,55.197716400000000,57.955765300000000,0.365999997,0.00300000,20190409133241,778,16,1,19.1499996,25.2802925,0.0638829619,-0.050133970,6.790110638E-05,3.0000000000e+01,1.58000004,1
778116100012244,83216253,2458586.659445012,58586.162534700000,18.4658566,0.0412185229,0,zg,55.197659800000000,57.955822400000000,0.517000020,0.01300000,20190413162535,778,16,1,19.8600006,25.8881207,0.0434363857,-0.050160777,1.914068707E-05,3.0000000000e+01,1.93700004,1
