oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
778216100021253,71232092,2458466.8254877450,58466.3209259,18.5151939,0.0371025130,32768,zr,55.197328600000000,57.955591000000000,0.580999970,0.086000003,20181214320903,778,16,1,19.0499992,25.1326847,0.0401039124,0.0899689496,1.613479071E-05,3.0000000000e+01,1.10699999,1
778216100021253,71428101,2458468.7855377556,58468.2810185,18.3349190,0.0331924595,0,zr,55.197592000000000,57.955818700000000,1.110999942,-0.020000000,20181216280984,778,16,1,20.8799992,26.1282711,0.0184905678,0.0844510719,3.484687340E-06,3.0000000000e+01,1.07400000,1
778216100021253,71723495,2458471.7393990210,58471.2349537,18.5375290,0.0376306809,0,zr,55.197742700000000,57.955879800000000,0.351000011,0.035000000,20181219234942,778,16,1,19.2099991,25.7560749,0.0300738681,0.0921542719,8.916229490E-06,3.0000000000e+01,1.07000005,1
778216100021253,71826076,2458472.7651808330,58472.2607639,18.3080254,0.0326598547,0,zr,55.197645300000000,57.955869600000000,0.767000020,-0.030999999,20181220260625,778,16,1,19.9899998,26.1275253,0.0218023881,0.0892888904,4.807524419E-06,3.0000000000e+01,1.07000005,1
778216100021253,72030065,2458474.8050160888,58474.3006597,18.3310852,0.0331157669,0,zr,55.197596000000000,57.955829400000000,0.741999984,-0.041000001,20181222300590,778,16,1,19.7900009,26.1224957,0.0216554273,0.0858890787,4.682912731E-06,3.0000000000e+01,1.10899997,1
778216100021253,72230212,2458476.8064213633,58476.3021296,18.3916531,0.0343577899,0,zr,55.197549700000000,57.955816100000000,0.788999975,0.046000000,20181224302083,778,16,1,20.3700008,26.1189251,0.0212504677,0.0876136199,4.512934993E-06,3.0000000000e+01,1.12000000,1
778216100021253,72630974,2458480.8138924800,58480.3097454,18.3163185,0.0328227654,0,zr,55.197549500000000,57.955844200000000,0.555000007,-0.037000000,20181228309688,778,16,1,20.3600006,26.0743809,0.0182399713,0.0937391445,3.376361292E-06,3.0000000000e+01,1.15400004,1
778216100021253,72731958,2458481.8236907595,58481.3195833,18.2670250,0.0318715721,0,zr,55.197601800000000,57.955884700000000,1.639000058,0.017999999,20181229319537,778,16,1,20.1599998,26.0880489,0.0229401477,0.0980322435,5.299202712E-06,3.0000000000e+01,1.18299997,1
778216100021253,72819218,2458482.6962597463,58482.1921875,18.3427811,0.0333505236,0,zr,55.197572300000000,57.955808100000000,1.271000028,0.059999999,20181230192083,778,16,1,20.0300007,26.0620537,0.0211713593,0.0904447213,4.518287369E-06,3.0000000000e+01,1.07599998,1
778216100021253,73213490,2458486.6388089675,58486.1349074,18.3679428,0.0338637605,0,zr,55.197533100000000,57.955831200000000,0.985000014,-0.001000000,20190103134838,778,16,1,20.6399994,26.1153030,0.0172110610,0.0914655253,3.019025598E-06,3.0000000000e+01,1.12899995,1
778216100021253,73325129,2458487.7551462105,58487.2512963,18.3253517,0.0330015421,0,zr,55.197553400000000,57.955843100000000,1.101999998,-0.045000002,20190104251285,778,16,1,20.9400005,26.1155910,0.0173610747,0.0872876197,3.057705044E-06,3.0000000000e+01,1.09200001,1
778216100021253,73425774,2458488.7615452100,58488.2577431,18.3512421,0.0335218683,0,zr,55.197587500000000,57.955836200000000,0.463000000,-0.059999999,20190105257720,778,16,1,20.7199993,25.9335957,0.0200894512,0.0858588889,4.088954483E-06,3.0000000000e+01,1.10300004,1
778216100021253,73617430,2458490.6780135290,58490.1743056,18.3525200,0.0335478559,0,zr,55.197583200000000,57.955843500000000,0.379000008,0.021000000,20190107174294,778,16,1,20.8799992,26.1148472,0.0218482222,0.0927917361,4.786853424E-06,3.0000000000e+01,1.08099997,1
778216100021253,73722371,2458491.7273699240,58491.2237153,18.3500919,0.0334984995,0,zr,55.197557500000000,57.955861100000000,0.723999977,-0.010000000,20190108223704,778,16,1,20.7199993,26.1014252,0.0171708167,0.0894659087,2.965096883E-06,3.0000000000e+01,1.08500004,1
778216100021253,73815634,2458492.6599488540,58492.1563426,18.2902622,0.0323148631,0,zr,55.197554000000000,57.955870200000000,1.113000035,0.157000005,20190109156285,778,16,1,19.9599991,25.6423416,0.0248084590,0.0845035911,6.126585959E-06,3.0000000000e+01,1.08899999,1
778216100021253,73913940,2458493.6429639575,58493.1394097,18.3385925,0.0332661904,0,zr,55.197586000000000,57.955840200000000,0.908999979,-0.057000000,20190110139398,778,16,1,20.8199997,26.1040020,0.0166067164,0.0889966339,2.782608817E-06,3.0000000000e+01,1.10300004,1
778216100021253,75111934,2458505.6221845443,58505.1193403,18.3776970,0.0340657830,0,zr,55.197566100000000,57.955847400000000,0.833000004,0.041000001,20190122119282,778,16,1,20.0100002,26.0970459,0.0202926453,0.0924592391,4.173867183E-06,3.0000000000e+01,1.09000003,1
778216100021253,75222429,2458506.7270662760,58506.2242940,18.3704948,0.0339164510,0,zr,55.197486100000000,57.955957900000000,1.238999963,0.061000001,20190123224259,778,16,1,19.3099995,26.1129646,0.0318183415,0.0931626409,1.023947607E-05,3.0000000000e+01,1.13300002,1
778216100021253,75322493,2458507.7276368737,58507.2249306,18.2714233,0.0319547951,0,zr,55.197569000000000,57.955841200000000,0.580999970,0.009000000,20190124224907,778,16,1,20.6599998,26.1017857,0.0173067711,0.0904715061,2.998603122E-06,3.0000000000e+01,1.13900006,1
778216100021253,75421675,2458508.7193993735,58508.2167593,18.3013840,0.0325302444,0,zr,55.197577100000000,57.955872400000000,0.550999999,-0.006000000,20190125216736,778,16,1,20.5499992,26.1047516,0.0196554698,0.0912183896,3.910820851E-06,3.0000000000e+01,1.13000000,1
778216100021253,75621884,2458510.7213467450,58510.2188426,18.2298851,0.0311815515,32768,zr,55.197339100000000,57.955719700000000,1.001000047,0.021000000,20190127218843,778,16,1,18.5499992,25.3342171,0.0440677367,0.0955931842,2.032529119E-05,3.0000000000e+01,1.14300001,1
778216100021253,75719385,2458511.6962911068,58511.1938542,18.1910172,0.0304831155,0,zr,55.197594800000000,57.955860700000000,1.223999977,-0.052999999,20190128193831,778,16,1,20.6000004,26.0643272,0.0177204031,0.0919656157,3.193191787E-06,3.0000000000e+01,1.10899997,1
778216100021253,76011872,2458514.6209581005,58514.1187269,18.2490082,0.0315340422,0,zr,55.197567600000000,57.955833100000000,0.602999985,0.012000000,20190131118391,778,16,1,21.2600002,26.1003780,0.0189300254,0.0900256485,3.667280453E-06,3.0000000000e+01,1.07700002,1
778216100021253,76916128,2458523.6628476960,58523.1612847,18.1678944,0.0300788265,0,zr,55.197563600000000,57.955838500000000,0.647000015,-0.027000001,20190209161250,778,16,1,20.8999996,26.0369778,0.0161536485,0.0875937343,2.595046908E-06,3.0000000000e+01,1.10899997,1
778216100021253,78411466,2458538.6150547260,58538.1146644,18.1110287,0.0291188974,0,zr,55.197533700000000,57.955906900000000,0.989000022,-0.035000000,20190224114606,778,16,1,20.0200005,26.0031929,0.0265330132,0.0917888060,7.144572464E-06,3.0000000000e+01,1.10200000,1
778216100021253,78518212,2458539.6824346604,58539.1821296,18.1169014,0.0292158239,0,zr,55.197534000000000,57.955870300000000,0.643000007,-0.016000001,20190225182118,778,16,1,20.3999996,26.0560398,0.0241586529,0.0860704929,5.867118034E-06,3.0000000000e+01,1.24800003,1
778216100021253,78619494,2458540.6951662290,58540.1949421,18.0519104,0.0281708650,0,zr,55.197558700000000,57.955820500000000,0.735000014,0.004000000,20190226194931,778,16,1,20.8999996,26.0710735,0.0185483526,0.0902128071,3.501013680E-06,3.0000000000e+01,1.30299997,1
778216100021253,80415791,2458558.6567257973,58558.1579167,17.8798084,0.0256786719,0,zr,55.197450100000000,57.955843300000000,0.781000018,-0.013000000,20190316157905,778,16,1,19.4400005,26.0657864,0.0450403169,0.0916500166,2.064858745E-05,3.0000000000e+01,1.35300004,1
778216100021253,80518208,2458559.6808144610,58559.1820833,17.9142227,0.0261468478,0,zr,55.197569100000000,57.955833000000000,0.776000023,0.010000000,20190317182072,778,16,1,19.7199993,26.0393314,0.0237726644,0.0789174959,5.771640190E-06,3.0000000000e+01,1.49100006,1
778216100021253,80613260,2458560.6312634787,58560.1326042,17.8736343,0.0255961791,0,zr,55.197580100000000,57.955836700000000,1.264000058,-0.061999999,20190318132604,778,16,1,20.0499992,26.0886459,0.0217501000,0.0828499049,4.789279046E-06,3.0000000000e+01,1.27400005,1
778216100021253,80814246,2458562.6409739037,58562.1424653,17.8262863,0.0249786340,32768,zr,55.197595400000000,57.955884100000000,0.847999990,-0.012000000,20190320142454,778,16,1,18.4899998,25.3173027,0.0599991940,0.0885874331,3.847432163E-05,3.0000000000e+01,1.33299994,1
778216100021253,81913775,2458573.6354788790,58573.1377546,17.6404324,0.0227939431,0,zr,55.197583300000000,57.955832300000000,0.633000016,-0.024000000,20190331137755,778,16,1,20.3600006,25.9652500,0.0182361584,0.0875908956,3.397190085E-06,3.0000000000e+01,1.45599997,1
778216100021253,82013837,2458574.6360364310,58574.1383796,17.6586533,0.0229922645,0,zr,55.197562700000000,57.955833200000000,1.016999960,-0.017999999,20190401138368,778,16,1,20.3999996,25.8543835,0.0223674383,0.0893149525,5.095147117E-06,3.0000000000e+01,1.47500002,1
778216100021253,82817702,2458582.6741692317,58582.1770255,17.4618492,0.0210146699,0,zr,55.197596600000000,57.955814600000000,0.652000010,-0.003000000,20190409177025,778,16,1,19.6900005,25.7345581,0.0250557121,0.0863879919,6.639532330E-06,3.0000000000e+01,1.97700000,1
778216100021253,83214310,2458586.6400133255,58586.1431019,17.3686504,0.0201951619,0,zr,55.197569800000000,57.955839600000000,1.098999977,-0.111000001,20190413143102,778,16,1,19.8299999,25.9091759,0.0228503775,0.0878027976,5.375102319E-06,3.0000000000e+01,1.74300003,1
